COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
421.9409	1.1529-0.26933i	425.583+0.03602607i
422.2379	1.3161-0.21399i	425.8835+0.03613403i
422.5352	1.2158-0.49685i	426.1844+0.03639105i
422.833	1.1632-0.12153i	426.4859+0.03646258i
423.1312	1.1304-0.020454i	426.7879+0.03667917i
423.4298	0.73558-0.37392i	427.0905+0.03671399i
423.7288	1.0643+0.38011i	427.3936+0.03689402i
424.0283	1.4912-0.021377i	427.6973+0.03705157i
424.3281	1.1217-0.62421i	428.0014+0.03719491i
424.6285	1.297+0.46579i	428.3063+0.03731144i
424.9292	0.99534-0.70734i	428.5951+0.03771633i
425.2303	0.96133-0.069432i	428.9009+0.03780067i
425.5319	1.2433-0.26757i	429.2073+0.03802673i
425.8339	1.327-0.14796i	429.5163+0.03674941i
426.1364	1.0498+0.24189i	429.826+0.03689464i
426.4392	1.2282-0.59858i	430.1361+0.03702376i
426.7425	1.0584-0.092125i	430.4303+0.03743465i
427.0463	1.0242-0.52221i	430.7417+0.03751343i
427.3504	1.3734+0.070306i	431.0535+0.03757586i
427.655	1.4441-0.39646i	431.3493+0.0379222i
427.9601	1.4553+0.55533i	431.6624+0.0380995i
428.2655	1.365-0.46065i	431.9759+0.03826053i
428.5714	0.96703+0.33376i	432.2734+0.03854188i
428.8778	1.2159-0.4509i	432.5882+0.03865197i
429.1845	1.3014-0.0076496i	432.9034+0.03874554i
429.4918	1.3295-0.22302i	433.2027+0.03895645i
429.7994	1.5931-0.60976i	433.519+0.03916989i
430.1075	0.95255-0.72457i	433.8361+0.03935742i
430.4161	1.846-0.2801i	434.137+0.03950214i
430.7251	1.3515-0.3726i	434.4552+0.03964284i
431.0345	1.4371+0.21061i	434.7739+0.03976211i
431.3444	1.2074-0.031427i	435.0766+0.04017457i
431.6547	1.6358-0.351i	435.3965+0.04024678i
431.9654	1.5969-0.18676i	435.7001+0.0404508i
432.2767	1.2939-0.37327i	436.0213+0.04063847i
432.5883	1.1409-0.55163i	436.3429+0.04080935i
432.9004	1.3444+0.1557i	436.6484+0.04110935i
433.213	1.5635-0.16527i	436.9713+0.04122795i
433.526	1.1125-0.12205i	437.2779+0.04148166i
433.8395	1.4415-0.089528i	437.602+0.04155238i
434.1534	1.2605-0.39694i	437.9098+0.04175944i
434.4678	1.5614+0.057433i	438.2351+0.04195078i
434.7826	1.4746-0.024875i	438.544+0.04227998i
435.0979	1.4054-0.43306i	438.8705+0.04225418i
435.4136	1.2893-0.039397i	439.1806+0.04253647i
435.7298	1.6199+0.49623i	439.5082+0.04263129i
436.0465	0.74141-0.48356i	439.8196+0.04303122i
436.3636	1.4836-0.50048i	440.1485+0.04307745i
436.6812	1.4697-0.17856i	440.461+0.04343033i
436.9993	1.4317+0.11855i	440.7912+0.04342273i
437.3178	0.96696-0.32855i	441.1049+0.0437282i
437.6368	1.6642-0.14736i	441.4362+0.04384161i
437.9562	1.482+0.031447i	441.7511+0.04409944i
438.2761	1.5523-0.10399i	442.0837+0.04416356i
438.5965	1.1798-0.40009i	442.3998+0.04453933i
438.9173	1.1385-0.24366i	442.7336+0.04455393i
439.2387	1.3617+0.26902i	443.0511+0.04487686i
439.5604	1.5589+0.011006i	443.3689+0.04518349i
439.8827	1.3814-0.43292i	443.7047+0.0452876i
440.2054	1.393-0.40249i	444.0238+0.04554096i
440.5286	1.2314-0.51052i	444.3608+0.04559502i
440.8523	1.515-0.039091i	444.6812+0.0457947i
