COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
575	1.007-0.47033i	574.9945+3.71183e-06i
576	0.87082+0.19988i	576.0017+0.0001156669i
577	0.80363-0.21122i	577.0135-0.0001531146i
578	0.60462+0.62605i	578.001-4.585071e-05i
579	0.70003+0.031016i	579.0142-0.0001628984i
580	0.96588-0.32829i	580.003-0.0001511409i
581	0.65809-0.014999i	580.9924+6.576844e-05i
582	0.80897-0.19108i	582.0079-0.0002025251i
583	0.67949+0.29252i	582.9988+0.0001706858i
584	0.9838+0.25703i	583.9903+0.000240944i
585	1.011-0.26405i	585.008-0.0001849198i
586	0.39917+1.1103i	586.001+3.866192e-05i
587	1.3943-0.24166i	586.9946+0.0002120464i
588	0.51721-0.074181i	588.0148-0.0001203826i
589	0.84354-0.041033i	589.0099-5.294621e-05i
590	0.84922+0.14674i	590.0058-3.842395e-05i
591	0.75512-0.076071i	591.0023-7.773948e-05i
592	0.60624-0.19959i	591.9997+8.95426e-05i
593	0.69407+0.70826i	592.9977-5.950948e-05i
594	1.2999-0.39616i	593.9966-2.349945e-06i
595	1.2108+0.19759i	594.9962-1.318015e-06i
596	0.86373-0.19187i	595.9966+0.0002070298i
597	0.84287-0.80981i	596.9977+9.361946e-05i
598	0.30777-0.1123i	597.9997-7.889892e-05i
599	0.34354+0.7384i	599.0025-4.480897e-05i
600	1.459-0.13684i	600.0061-7.033224e-05i
601	0.95036-0.28502i	601.0105-0.0001565112i
602	1.1337-0.18012i	602.0158-0.0003044024i
603	0.82188-0.14273i	602.9949-1.506287e-05i
604	0.61396-0.50043i	604.0018-1.578285e-05i
605	0.61577-0.84021i	605.001+0.0001091705i
606	1.6025-0.30373i	605.991+0.0001257595i
607	1.4501+0.17197i	607.009-0.000158451i
608	0.035376+0.61884i	608.0006+6.42105e-06i
609	0.92148+0.098741i	608.9929+0.0001097248i
610	1.6047-0.22172i	610.0136-9.684321e-05i
611	1.5476-0.38325i	611.0076-0.0001224494i
612	0.49108-0.74995i	612.0025+6.400475e-05i
613	0.40934+0.12207i	612.9981+0.0001860447i
614	0.63915-0.063869i	613.9946+0.0002425338i
615	1.7638-0.40357i	614.992+0.0002323201i
616	0.98924-0.30708i	615.9902+0.0001542354i
617	0.29226-0.0045043i	616.9892+0.000288051i
618	0.41698+0.1364i	617.9892+0.0003532307i
619	1.7565+0.18772i	618.99+0.0003485648i
620	0.63482+0.1332i	619.9918+0.0002728265i
621	0.62682+0.22615i	620.9944+0.0001247719i
622	0.3102-0.17641i	621.998+0.0001881709i
623	0.3373+0.16641i	623.0025-0.0001074946i
624	1.7869+0.44639i	624.0079-0.0001926317i
625	1.7193+0.034253i	625.0143-0.0003535784i
626	0.52658+0.11735i	625.9928+0.0002749027i
627	0.13681-0.69063i	627.0011-3.713829e-05i
628	1.9585+0.061166i	628.0104-0.0001389882i
629	0.32361-0.085636i	628.9915+0.000269005i
630	0.80978-0.23012i	630.0027+1.048764e-05i
631	1.8719-0.79122i	631.0149-0.0003303295i
632	0.5946-0.087781i	631.9988+0.0001392293i
633	1.6832+0.083962i	633.0131-0.0003658129i
634	1.1163-0.65489i	633.9988-5.396004e-05i
635	2.0522-0.043116i	635.0151-0.0004330769i
636	1.5753-0.083224i	636.012-0.0003240453i
637	0.36906+0.086428i	637.0062-0.0001069714i
638	0.37726-1.0674i	638.0016+0.000127437i
639	1.3834-0.10943i	638.9983+8.0228e-05i
640	0.78835+0.1i	639.9963+4.992933e-05i
641	0.5247-0.1059i	640.9956+3.732691e-05i
642	0.92578-0.055983i	641.9963+4.322481e-05i
643	0.83204+0.21708i	642.9983+6.844562e-05i
644	1.2712-0.39905i	644.0017+0.0001138309i
645	0.20192+0.11487i	645.0065-0.0001254362i
646	0.30467-0.05206i	646.0128-0.0003448143i
647	0.18566+0.05868i	646.9897+0.0003796466i
648	1.1885+0.86839i	647.9987-0.0001051216i
649	0.30668+0.028507i	649.0093-0.0002595923i
650	0.19864-0.1909i	649.9902+0.0002243412i
651	0.42189+0.043765i	651.0037-0.0001940489i
652	0.37706-0.13222i	651.9875+0.0003382563i
653	0.84134-0.15805i	653.004-3.145839e-05i
654	0.20555+0.33909i	653.9906+0.0002382354i
655	0.41466+0.039313i	655.0102-7.979158e-05i
656	0.59644+0.42527i	655.9998-7.385411e-05i
657	0.40011+0.0075525i	656.9908+0.0002760959i
658	2.1012+0.28269i	658.0152-0.0002767504i
659	0.71244+0.13407i	659.0093-0.0001883676i
660	0.71665+0.063328i	660.005-7.076292e-05i
661	0.45858-0.71097i	661.0022+7.719819e-05i
662	1.6523-0.33405i	662.0009-6.674072e-05i
663	0.59228-1.2807i	663.0013+0.0001443577i
664	0.86618-0.14357i	664.0033+6.377929e-05i
665	2.1204-0.044701i	665.0184-0.0002008469i
666	0.67198+0.20471i	666.0166-0.000452539i
667	0.93629+0.06682i	667.0161-0.0001553021i
668	0.75937+0.16669i	668.0171-0.0002943369i
669	1.1927-0.036766i	669.0195-0.0002133449i
670	1.2933-0.31469i	669.9902+5.738365e-05i
671	0.37811+0.054704i	670.9954+0.0002506654i
672	0.70054-0.80941i	672.0022-3.158649e-06i
673	0.86399+0.073368i	673.0105-3.967129e-05i
674	0.74352+0.080053i	673.9867+0.000120437i
675	0.75553+0.023887i	674.998+0.0001864421i
676	0.86117-0.080339i	676.0109-0.0002060908i
677	0.78974-0.0055297i	676.9915+0.0002798552i
678	1.2644+0.098535i	678.0075-1.920689e-05i
679	0.41057-0.085231i	678.9911+0.0002277231i
680	0.93206-0.01366i	680.0103-0.0003247944i
681	0.78778-0.002727i	680.997+1.663094e-05i
682	0.89161+0.071204i	682.0195-0.0004540022i
683	0.5631+0.072944i	683.0093-2.183e-05i
684	1.2998-1.0409i	684.0006-6.304953e-05i
685	0.61596-0.070226i	684.9936+0.0001119922i
686	0.77419+0.050085i	685.9881+0.0001550147i
687	0.61793+0.021823i	687.0192-0.0003001603i
