COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
592	1.4813-0.19657i	591.9928+0.000221192i
593	1.1057+0.075839i	593.0089-0.0001655299i
594	1.2469-0.090237i	594.0064-7.330893e-05i
595	1.1536-0.18432i	595.0041+6.954983e-06i
596	0.84551+0.0098116i	596.002+7.508235e-05i
597	1.0578-1.4046i	597.0001-5.855653e-05i
598	1.0891+0.0089565i	597.9984-1.573799e-05i
599	0.63967+0.0044537i	598.9969+1.439372e-05i
600	1.6663+0.054042i	599.9955+3.165183e-05i
601	0.52421+0.054943i	600.9944+3.584771e-05i
602	2.0965+0.35749i	601.9934+0.0002186991i
603	1.4158-0.20602i	602.9926+0.0001966919i
604	0.56376+0.01303i	603.9921+0.0001610463i
605	0.52531+0.1761i	605.0035-7.962729e-05i
606	0.62406+0.47165i	606.0063-0.0001764042i
607	1.2791-0.11076i	607.0093-9.31688e-05i
608	1.8367-0.31934i	607.9931+0.0001121929i
609	1.428+0.0207i	608.9965+0.0001693156i
610	1.3848+1.969i	610.0001+1.660594e-05i
611	1.9865+0.35321i	611.0039+4.509677e-05i
612	1.2407-0.17015i	612.008-0.0001376464i
613	1.3665-0.074765i	612.9926+0.0002007252i
614	1.5336-0.010389i	613.997-1.110497e-05i
615	0.78634+0.00032457i	615.0017-4.056222e-05i
616	1.1677+0.0045495i	616.0067-8.521887e-05i
617	1.478+0.36189i	616.9919+0.0002011953i
618	1.7192-0.070795i	617.9973+0.0001273071i
619	1.6159-0.039637i	619.0029+3.758149e-05i
620	1.6185-0.033545i	620.0088-6.820138e-05i
621	1.6823-0.01116i	620.9947+0.0001635115i
622	1.1535-0.0044909i	622.001+2.679102e-05i
623	1.5089-0.45307i	623.0076-0.0001266501i
624	1.8863+0.14246i	623.9941+6.229513e-05i
625	0.84555-0.086985i	625.0011+8.002578e-05i
626	1.7283-0.22874i	626.0084-0.0001225641i
627	0.757-0.031864i	626.9954+2.218438e-05i
628	0.32751-0.085691i	628.0032-9.051204e-06i
629	1.0053+0.017057i	629.0112-0.000262846i
630	1.5885+0.0096579i	629.9988+4.171098e-05i
631	1.0176-0.053819i	631.0073-4.006099e-05i
632	0.94498+0.020328i	631.9954+2.789927e-05i
633	1.4128-0.016103i	633.0043-8.827561e-05i
634	1.0184-0.11875i	633.9928+0.0001557294i
635	1.6049-0.0016266i	635.0023+4.712653e-06i
636	0.78629+0.020308i	635.9991-4.490719e-05i
637	0.87432-0.024564i	637.0092-6.830394e-05i
638	0.90505-0.014273i	637.9987+8.829505e-05i
639	0.89836-0.044509i	639.0095-0.0001287448i
640	2.3225-0.078859i	639.9996+4.269336e-05i
641	0.90941-0.024618i	641.0111-0.000157926i
