COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
630	0.56034-0.0038537i	630.1572-0.002793553i
631	0.76273+0.031347i	631.1809-0.00283855i
632	1.3225+1.182i	632.172-0.002852627i
633	0.88237-0.12006i	633.1582-0.00294929i
634	0.65412-0.0027854i	634.1673-0.002959106i
635	0.62172-0.06041i	635.1715-0.00303686i
636	1.5073-0.12434i	636.168-0.002963835i
637	0.64891+0.021265i	637.1736-0.002887938i
638	0.50432-1.5619i	638.1726-0.003067746i
639	1.0539-0.77243i	639.165-0.002952057i
640	0.95368-0.27301i	640.1783-0.002928154i
641	1.9354-0.42164i	641.1849-0.002887758i
642	0.48567+1.1894i	642.1846-0.003107958i
643	1.7512-0.07082i	643.1774-0.003039628i
644	0.90984-1.5601i	644.1908-0.003067459i
645	1.1445-0.025547i	645.1696-0.003252914i
646	0.36786-0.9012i	646.1688-0.003262585i
647	0.16477+0.97809i	647.1883-0.003097858i
648	1.3212-0.63045i	648.173-0.003096837i
649	0.75976+0.62567i	649.1778-0.003198711i
650	0.66668-0.21769i	650.1752-0.003299626i
651	0.43999+1.6663i	651.1924-0.003232884i
652	0.48844-0.90308i	652.1747-0.003338211i
653	1.0216+0.0077459i	653.1766-0.003280004i
654	1.2245-0.31166i	654.198-0.003060092i
655	1.3079-0.015341i	655.1843-0.003291382i
656	0.57237+0.089077i	656.1898-0.003364918i
657	0.81692+1.0551i	657.1874-0.003180987i
658	0.74752-0.78152i	658.204-0.003115517i
659	0.81331+1.3209i	659.1853-0.003238975i
660	0.26851+1.1594i	660.1854-0.003484798i
661	0.5333+0.11803i	661.2042-0.003313637i
662	0.85977+0.34973i	662.1875-0.003339667i
663	0.67776+0.90049i	663.1892-0.003494974i
664	0.41358-0.214i	664.2092-0.003242094i
665	1.5083+0.38185i	665.201-0.003434653i
666	0.17354-0.26928i	666.2109-0.003298387i
667	0.86279+0.53656i	667.1863-0.003712777i
668	0.75276+0.10337i	668.2077-0.003608412i
669	0.25527-1.1818i	669.1946-0.003764611i
670	1.1514-0.58501i	670.2006-0.003550885i
671	0.42932+0.17613i	671.1986-0.0036676i
672	0.38575+0.1779i	672.2154-0.003654386i
673	1.2828-0.4328i	673.1974-0.003860167i
674	0.47499-0.54751i	674.198-0.003910172i
675	0.40895-1.2957i	675.217-0.003788208i
676	0.56314+1.306i	676.2011-0.004118047i
677	0.77075+0.10853i	677.2034-0.003982237i
678	0.79105+0.46705i	678.1973-0.004086486i
679	1.3054-0.1961i	679.2091-0.00422601i
680	0.19436-1.5742i	680.2123-0.004045103i
681	0.38702+0.79902i	681.2067-0.004326931i
682	1.3004-0.89407i	682.2188-0.004330959i
683	0.89671-0.065239i	683.2219-0.004237062i
684	0.63268+0.28876i	684.216-0.004296014i
685	0.5354-0.44617i	685.2273-0.004292127i
686	0.84285+0.35881i	686.2294-0.0044086i
687	0.3787-0.91037i	687.2222-0.004630494i
688	1.182+0.23259i	688.2055-0.004679597i
689	1.0306-0.49548i	689.2319-0.004651041i
690	0.79063-0.76932i	690.2224-0.004622092i
691	1.2588-0.89135i	691.2293-0.004684467i
692	1.1611-0.35997i	692.2264-0.004767201i
693	0.4451+0.96799i	693.2136-0.005115489i
694	1.0348+0.89566i	694.2169-0.004972536i
695	0.749-0.25399i	695.236-0.00483893i
696	1.2244+0.53533i	696.2188-0.005131786i
697	0.44368+1.2865i	697.2187-0.005364558i
698	0.99467-0.59664i	698.2365-0.005231096i
699	1.2061+0.90506i	699.2405-0.005449779i
700	0.59355-0.23434i	700.2307-0.005697077i
701	0.7079-0.29438i	701.2329-0.005668259i
702	0.54712-0.18488i	702.2208-0.006046571i
703	0.40234+0.033246i	703.2461-0.006006427i
704	0.6282-0.39706i	704.2309-0.006212489i
705	1.1407+0.89728i	705.2267-0.006348584i
706	0.69386-0.088952i	706.2333-0.006584807i
707	0.76183-0.33128i	707.2504-0.006574563i
708	0.89794-0.45442i	708.252-0.006755698i
709	1.4846+0.35169i	709.2381-0.007049i
710	0.82208-0.16591i	710.2339-0.007092104i
711	0.78788+0.29956i	711.2393-0.007298469i
712	1.1211-0.79094i	712.2539-0.007312031i
713	0.0039213+0.0028636i	713.252-0.007581604i
714	0.60981-0.20729i	714.2588-0.007715462i
715	0.89966+1.4698i	715.2487-0.007913021i
716	0.62272-0.12198i	716.2468-0.008274921i
717	0.66391-1.5595i	717.2527-0.008434319i
718	0.89189+1.4837i	718.2663-0.008528537i
719	0.68999-0.13132i	719.2619-0.008766925i
720	0.65297-0.34931i	720.2645-0.008962872i
721	0.63189-0.57667i	721.2486-0.009330821i
722	0.54108+1.2805i	722.2643-0.00932161i
723	0.72507-0.23168i	723.2611-0.009738526i
724	0.91882+0.23207i	724.2635-0.009857445i
725	0.42549+1.5634i	725.2715-0.01004091i
726	0.87536+0.63622i	726.2562-0.01056772i
727	1.036+0.42381i	727.2618-0.01050416i
728	0.50394+0.13793i	728.2625-0.01093138i
729	0.70779+0.2002i	729.2825-0.01082439i
730	0.51908-0.055006i	730.2717-0.01128217i
731	0.71121+0.12595i	731.2788-0.01138243i
732	0.58447+0.22564i	732.2785-0.01158919i
733	0.011044+0.010228i	733.2701-0.01198003i
734	0.46702-0.57803i	734.2774-0.01222314i
735	1.3194+0.763i	735.2752-0.01253182i
736	0.93937+0.94831i	736.2871-0.01255244i
737	0.73312-0.33253i	737.288-0.01298233i
738	0.6878+0.54899i	738.3013-0.01295641i
739	0.53609+0.22547i	739.302-0.0134089i
740	0.25285+0.39681i	740.2893-0.0138835i
741	1.1295-0.11142i	741.3106-0.01376807i
742	0.55142+0.25247i	742.2927-0.01461116i
743	0.94271+0.83478i	743.3068-0.01460653i
744	0.61215-0.26829i	744.304-0.01510231i
745	1.3712+0.53835i	745.3072-0.01538379i
746	1.1594-0.24056i	746.3154-0.01564695i
747	0.46407+0.16158i	747.3037-0.0163074i
748	1.2236-1.035i	748.3187-0.01636668i
749	0.39265+0.13369i	749.3118-0.01692995i
750	0.8821-0.53157i	750.3291-0.01718712i
751	0.61388+0.54188i	751.3223-0.01776833i
752	0.79505+0.14476i	752.3372-0.0180489i
753	0.25898+0.18378i	753.3257-0.01865655i
754	0.75052-0.44619i	754.3334-0.01914501i
755	1.6339+0.55554i	755.3275-0.01972192i
756	1.2391-0.79244i	756.3325-0.02023253i
757	0.97572-1.3963i	757.3518-0.02040399i
758	1.2345-1.4449i	758.3377-0.02130286i
759	1.5273+0.52892i	759.3579-0.0215465i
760	0.67812+0.28935i	760.3418-0.02248636i
761	1.0451+0.4534i	761.3565-0.02288649i
762	0.78161-1.156i	762.3547-0.02353236i
763	0.74512+0.73043i	763.3574-0.02353708i
764	1.3499+0.63888i	764.3628-0.02412166i
765	0.6704+0.17953i	765.3691-0.02556516i
766	1.0584+0.64241i	766.3743-0.02721825i
767	1.1153+0.36048i	767.3763-0.02617631i
768	0.73607-1.4567i	768.3734-0.02845157i
769	0.17583+0.99304i	769.3854-0.02823451i
770	0.97371+0.8032i	770.3881-0.0298068i
771	0.71866-1.7108i	771.4013-0.02952944i
772	0.88617-0.57375i	772.4005-0.03159231i
773	0.8384+0.36615i	773.4053-0.03227883i
