COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
555	3.1166+0.0018528i	564.4503-0.01367283i
556	3.0763-0.016479i	565.5474-0.02135935i
557	3.2054-0.00078186i	566.6473-0.02926884i
558	2.8054-0.0028318i	567.7499-0.03739465i
559	3.5589+0.0046022i	568.8549-0.04555722i
560	3.2345-0.0011503i	569.9795-0.05391525i
561	3.1749+0.001243i	571.0888-0.06264987i
562	3.6409-0.00093306i	572.1999-0.07157382i
563	2.8919-0.0016382i	573.3127-0.08068025i
564	3.485-0.0061351i	574.4268-0.09013397i
565	2.7876-0.0080818i	575.5421-0.09975588i
566	3.3189+0.0028877i	576.6755-0.1093583i
567	3.1981-0.00069611i	577.7924-0.1196377i
568	3.1027+0.0012323i	578.927-0.1298825i
569	3.3117-0.0024721i	580.0617-0.1404371i
570	3.3294-0.00326i	581.1964-0.1512935i
571	3.2444-0.011435i	582.3309-0.1624439i
572	3.2529+0.00018718i	583.4648-0.1740501i
573	2.8743+0.0034702i	584.6149-0.1855838i
574	3.6653+0.0090351i	585.7471-0.1979068i
575	3.7922-0.00084574i	586.8949-0.2103105i
576	3.3736+0.0019286i	588.0591-0.2233665i
577	3.302+0.0037357i	589.2083-0.2378402i
578	3.3608+0.0043708i	590.3566-0.2528032i
579	2.7373-0.0013855i	591.5204-0.2681969i
580	3.001+0.00099544i	592.6827-0.2841585i
581	3.3748+0.002266i	593.8599-0.3006249i
582	2.5691+0.0065159i	595.0183-0.3179201i
583	3.814-0.0013158i	596.1911-0.3356242i
584	3.3265-0.0026364i	597.378-0.3540202i
585	3.4037+0.00071517i	598.562-0.3732448i
586	3.0205+0.00071091i	599.7428-0.3930805i
587	3.0234+0.0039606i	600.9368-0.413617i
588	3.4149-0.0011842i	602.127-0.4349909i
589	2.0032-0.004583i	603.3297-0.45712i
590	3.3064-0.0027903i	604.5281-0.4801406i
591	3.8283+0.0015907i	605.7384-0.5039657i
592	3.6441-0.010906i	606.9602-0.5285341i
593	3.3536-0.0032758i	608.1766-0.5541465i
594	3.4026+0.002416i	609.4039-0.5807082i
595	3.7236-0.0075243i	610.6252-0.6085177i
596	3.3709+0.00096582i	611.8567-0.6371463i
597	3.2108+0.063462i	613.0979-0.6668546i
598	3.0694-0.0027881i	614.3485-0.6977368i
599	3.2041-0.0088784i	615.5918-0.7299242i
600	3.8431-0.0036771i	616.8601-0.7631028i
601	3.935-0.026492i	618.1202-0.7977678i
602	3.9184-0.0035394i	619.3882-0.8336401i
603	3.4851-0.0078954i	620.6637-0.8711303i
604	3.1668-0.0033116i	621.9462-0.909833i
605	3.7829+0.018683i	623.2446-0.9499764i
606	3.5337-0.0085857i	624.5442-0.9914014i
607	3.0313+0.016855i	625.8341-1.034889i
608	3.7769+0.0095708i	627.1461-1.079777i
609	3.6812+0.005663i	628.4798-1.126137i
610	2.4353-0.0068032i	629.8024-1.174784i
611	3.9915-0.0016074i	631.1457-1.225047i
612	3.9295+0.0023377i	632.4771-1.277737i
613	4.4362-0.028177i	633.8444-1.332123i
614	3.9617-0.0051841i	635.1988-1.389064i
615	2.4818-0.0069382i	636.5721-1.448036i
616	3.9809+0.0020372i	637.9636-1.510214i
617	3.5034-0.0028612i	639.3569-1.573949i
618	3.5238-0.0020362i	640.7516-1.640731i
619	3.8296+0.0011252i	642.1788-1.710021i
620	3.9465+0.004102i	643.5904-1.78235i
621	3.4704-0.0047363i	645.0336-1.856961i
622	3.9856+0.00037318i	646.4918-1.935536i
623	3.1454-0.019966i	647.9487-2.018164i
624	4.05-0.0077686i	649.4352-2.102714i
625	3.5638-0.0070571i	650.9193-2.19107i
626	4.0343-0.00037544i	652.4162-2.284464i
627	3.4992-0.013604i	653.941-2.380973i
628	3.5026-0.0052199i	655.4772-2.482248i
629	2.6794+0.029667i	657.0244-2.588151i
630	2.9321+0.062264i	658.5975-2.698326i
631	4.6121-0.014967i	660.1801-2.812843i
632	3.2868+0.00081952i	661.7718-2.933119i
633	3.4486-0.0050341i	663.3873-3.058788i
634	3.321-0.006752i	665.026-3.189699i
635	3.7034-0.0026097i	666.6872-3.325694i
636	3.4566-0.00022444i	668.3712-3.46895i
637	3.2938-0.023431i	670.1397-3.610655i
638	2.9765+0.00087715i	671.9303-3.758617i
639	3.6958-0.0094447i	673.7574-3.914116i
640	3.7756-0.0036525i	675.6042-4.075738i
641	2.996+0.0026401i	677.5003-4.244574i
642	2.4754-0.055194i	679.4291-4.422302i
643	3.6499-0.015561i	681.389-4.607314i
644	3.0141-0.0053978i	683.3789-4.802625i
645	3.5478-0.017493i	685.4127-5.007984i
646	2.8074-0.0027982i	687.4888-5.221798i
647	3.6961-0.016968i	689.606-5.44708i
648	2.4122+0.04601i	691.7779-5.682071i
649	3.561-0.026626i	693.9877-5.931478i
650	2.8077-0.0031199i	696.2492-6.19202i
651	2.7824-0.049167i	698.5608-6.465179i
652	2.8176-0.010404i	700.936-6.753812i
653	2.4437-0.024762i	703.3733-7.057879i
654	2.2376+0.015766i	705.8708-7.378864i
655	3.5221+0.0049963i	708.4268-7.71521i
656	3.0657+0.0016933i	711.0549-8.071313i
657	2.4509-0.015292i	713.7683-8.44703i
658	3.4985-0.0094719i	716.55-8.843981i
659	3.1078-0.0037214i	719.4132-9.262032i
660	4.9498+0.0018836i	722.3561-9.705718i
661	4.9283+0.0038011i	725.4071-10.17331i
662	0.27932+0.016886i	728.5489-10.66947i
663	3.9008+0.0010067i	731.7947-11.1941i
664	3.3474+0.0038556i	735.1576-11.75165i
665	3.9067-0.0019446i	738.6113-12.34711i
666	4.998+0.0045784i	742.0068-13.02454i
667	4.3054-0.0068958i	745.5151-13.74684i
668	3.3095-0.0012293i	749.1496-14.51365i
669	2.9003-0.0022962i	752.8937-15.33076i
670	2.5171+0.040196i	756.7759-16.2023i
671	2.4414-0.00032426i	760.7946-17.1309i
672	2.8488-0.01249i	764.963-18.12068i
673	3.5276-0.05225i	769.2947-19.17719i
674	3.3769-0.014928i	773.7726-20.30596i
675	3.5132-0.002611i	778.4405-21.51239i
676	4.3919+0.0037774i	783.2964-22.80179i
677	3.0982-0.0026511i	788.3385-24.17931i
678	3.9732+0.0023358i	793.5952-25.65448i
679	3.8624-0.064633i	799.0798-27.23355i
680	3.8101-0.040724i	804.8054-28.92247i
681	3.599-0.0073679i	810.7851-30.73287i
682	2.7024+0.0046054i	817.0321-32.67131i
683	4.0431-0.0085604i	823.5746-34.74982i
684	2.7978-0.016775i	830.4256-36.975i
685	3.092-0.002152i	837.598-39.36007i
686	2.5433-0.021486i	845.1354-41.91533i
687	2.3786-0.0010442i	853.0354-44.64947i
688	3.9571-0.0089539i	861.357-47.57638i
689	3.5763-0.048547i	870.0979-50.706i
690	3.6691-0.007872i	879.3176-54.04875i
691	3.2932-0.0023255i	889.0301-57.61091i
692	3.6116-0.0074126i	899.2961-61.40135i
693	4.3695-0.02101i	910.1471-65.42016i
694	3.6361-0.021042i	921.6165-69.66873i
695	4.5303+0.00017427i	933.8025-74.13625i
696	3.507-0.0057728i	946.7311-78.80298i
697	3.6281-0.011449i	961.3491-84.51267i
698	4.5762-0.015379i	977.646-91.01804i
699	3.7092-0.016594i	995.3389-97.72588i
700	4.6845-0.015375i	1014.6609-104.48361i
701	4.6676-0.01511i	1035.995-111.1144i
702	4.7286-0.012336i	1059.8348-117.29834i
703	4.7208-0.016502i	1087.0058-122.57857i
704	4.7655-0.017932i	1118.3895-126.40853i
705	3.8285-0.014968i	1156.0618-127.64109i
706	4.7714-0.014196i	1202.4423-125.02592i
707	3.1938-0.0052211i	1262.6291-115.97566i
708	4.8406-0.01011i	1345.5535-96.2559i
709	0.0024112+0.0010133i	1.2296+0.002445i
710	0.0016449+1.6345e-06i	3.7552-0.00017594i
711	0.0022037+7.7907e-05i	3.1925+6.2045e-05i
712	0.0021865-0.00019291i	3.4581-0.00056904i
713	0.0018124-0.00011424i	2.6123-0.0035352i
714	0.0017372+0.00013801i	2.6155-0.0052322i
715	0.002085+9.4398e-05i	4.1414-0.0071276i
716	0.0015215-4.2269e-05i	4.5525-0.018069i
717	0.0011576-0.000698i	4.4932-0.011993i
718	0.0011666+0.00015583i	3.9733-0.0092938i
719	0.001726-0.00027882i	3.7232-0.072108i
720	0.0020289-3.4828e-05i	4.7824-0.037764i
721	0.002129-0.00019505i	2.7777+0.085199i
722	0.0021313+0.00039302i	2.4716-0.20814i
723	0.0016854+0.00019772i	3.0514-0.0105i
724	0.003243+0.0019401i	3.161-0.67284i
725	0.0016139-0.0015902i	3.463-0.34549i
726	0.0020787-7.7417e-05i	4.7129-0.044091i
727	0.0018422+0.00016947i	4.1405+0.05984i
728	0.0017931+9.1081e-06i	4.7526-2.6892i
729	0.0021188-0.00049901i	2.7016-1.495i
730	0.0014187-0.00010974i	4.3228-1.4644i
731	0.0017731-8.5703e-05i	3.5045-1.1495i
732	0.0015733+7.4361e-05i	3.9987-0.13955i
733	0.0019104-7.9385e-05i	3.4777-1.7723i
734	0.0016419-2.6694e-05i	5.6956+0.0094637i
735	0.0018244+0.00034635i	4.1465-0.223i
736	4.6763-1.2789i	1274.8604+457.24944i
737	3.752-0.20448i	1243.1441+403.52614i
738	4.5611-0.0056081i	1213.4606+357.72318i
739	4.6658-0.21591i	1185.7312+318.44317i
740	2.9668-0.24874i	1160.0318+284.59986i
741	4.0619-0.4477i	1136.2957+255.31002i
742	3.5038+0.37551i	1114.4279+229.87112i
743	3.1933-0.099195i	1094.3055+207.6516i
744	3.2035+0.11773i	1075.7895+188.17411i
745	3.8075-0.020664i	1058.7725+171.03599i
746	4.1776-9.4309e-05i	1043.1439+155.89776i
747	4.5857-0.32456i	1028.7553+142.49216i
748	3.5041+0.060278i	1015.5147+130.55838i
749	2.8819+0.059832i	1003.3251+119.93648i
750	3.3012+0.12545i	992.1138+110.4116i
751	3.9463+0.09781i	981.7528+101.8784i
752	4.3383-0.030055i	972.2194+94.21132i
753	3.6276+0.051371i	963.3924+87.28057i
754	4.1123+0.064762i	955.2498+81.01857i
755	3.6853+0.017513i	947.704+75.32515i
