COMSOL CHECK  |  FORMAT: freq_input 	 freq_out1 	 freq_out2 
601	3.1606+0.0046436i	602.6608+0.03988917i
602	3.9556+0.015206i	603.6642+0.039907i
603	4.2227-0.009583i	604.6677+0.04010343i
604	3.5045-0.0074228i	605.6715+0.04009394i
605	3.4542-0.011863i	606.6679+0.04020434i
606	4.4344-0.0033442i	607.6749+0.04032833i
607	3.461+0.0041257i	608.6822+0.04024419i
608	3.5483-0.00049011i	609.6897+0.04033999i
609	4.3025-0.01483i	610.6779+0.04055857i
610	3.1802+0.021902i	611.6857+0.04062714i
611	4.1787-0.010881i	612.6939+0.04068116i
612	4.2438-0.00051281i	613.6826+0.04086111i
613	4.2759+0.020388i	614.6911+0.0408867i
614	4.2824-0.039614i	615.6999+0.04089713i
615	4.3874-0.015053i	616.6891+0.04123506i
616	3.4655+0.00059701i	617.6983+0.04121633i
617	4.3357-0.013152i	618.7078+0.04118181i
618	2.8917+0.0016378i	619.6975+0.04147954i
619	4.1457-0.040966i	620.7074+0.0414146i
620	4.5566+0.0030772i	621.7176+0.04133321i
621	3.249-0.0015703i	622.7078+0.0417903i
622	3.6839-0.0039735i	623.7185+0.04167771i
623	4.4255-0.0041017i	624.7091+0.04190544i
624	4.4433+0.0026993i	625.7202+0.04176024i
625	3.5701+0.0056657i	626.7316+0.04180091i
626	3.6183-0.011043i	627.7228+0.04198391i
627	2.9731-0.0035409i	628.7346+0.04199216i
628	4.4675+0.02777i	629.7262+0.04235001i
629	3.417+0.001064i	630.7386+0.04211995i
630	3.2256+0.0028792i	631.7306+0.04244781i
631	3.7165+0.0059514i	632.7434+0.04238896i
632	4.7322-0.0016252i	633.7358+0.04268645i
633	4.6908-0.012125i	634.7492+0.0425929i
634	3.3588-0.0015378i	635.742+0.04285909i
635	4.8143-0.0096101i	636.735+0.04311026i
636	3.5983+0.0022985i	637.7571+0.04271054i
637	4.2257-0.0058783i	638.7512+0.04269663i
638	4.0014+0.0095448i	639.7457+0.04247831i
639	3.0295+0.0027354i	640.7614+0.04209517i
640	3.4035+0.0019083i	641.7564+0.04188806i
641	3.4598-0.00037681i	642.7517+0.04168629i
642	3.8378-0.0035521i	643.7472+0.0417028i
643	3.813+0.0023246i	644.7644+0.04113467i
644	3.3676+0.0087622i	645.7605+0.04095149i
645	4.2492-0.0012467i	646.757+0.04077455i
646	3.4809-0.0015976i	647.7537+0.0406041i
647	3.386+0.0095297i	648.7723+0.04006455i
648	4.3246-0.015117i	649.7697+0.03990843i
649	3.5141-0.0021648i	650.7673+0.03975953i
650	2.8641-0.0081443i	651.7653+0.03961809i
651	3.4754-0.0031258i	652.7636+0.03948436i
652	3.4073-0.0015632i	653.7622+0.0391398i
653	3.5284+0.003833i	654.7831+0.03864994i
654	3.5333+0.0019889i	655.7824+0.03854103i
655	3.8757-0.01099i	656.782+0.03822022i
656	3.4812-0.0055547i	657.7819+0.03812851i
657	3.5565-0.00082819i	658.7822+0.03782421i
658	4.3927-0.0053192i	659.7828+0.03752827i
659	4.0085-0.0043857i	660.7837+0.03724098i
660	3.9901-0.0018048i	661.785+0.03718643i
661	2.7839-0.00090513i	662.7867+0.03691792i
662	3.6277-0.0026642i	663.7887+0.03665894i
663	3.6372-4.7547e-05i	664.791+0.03640979i
664	2.9967-0.0015074i	665.7937+0.03617077i
665	4.0602+4.6433e-05i	666.8017+0.03570855i
666	4.0482+0.00023883i	667.7983+0.03587938i
667	4.0642-0.00017415i	668.7952+0.03603123i
668	3.0551+0.00029544i	669.7924+0.03616382i
669	3.0294-0.003158i	670.8127+0.03590633i
670	3.3377-0.0033081i	671.8105+0.03599745i
671	3.3433-0.002132i	672.8086+0.03629895i
672	3.6867-0.0010753i	673.807+0.03634996i
673	3.0809-0.0035528i	674.8057+0.03638014i
674	4.1124+7.9821e-06i	675.8047+0.03662155i
675	4.6237-0.0016225i	676.8273+0.03622696i
676	3.0979-0.001103i	677.827+0.03642483i
677	4.1322-0.0017922i	678.827+0.03636758i
678	4.1353+0.0014381i	679.8274+0.03652266i
679	3.7343+0.00050949i	680.828+0.03665614i
680	2.8732-0.0018151i	681.829+0.03676769i
681	3.3761-0.001013i	682.8303+0.03685696i
682	4.6763-0.0004159i	683.832+0.03692361i
683	2.6886-0.0024058i	684.834+0.03696728i
684	3.7637-0.00099559i	685.8363+0.03698762i
685	3.1485-0.0011667i	686.839+0.03698427i
686	4.1952-0.00041055i	687.8421+0.03695687i
687	5.3675-0.0034267i	688.8455+0.03714542i
688	5.3943+0.0011244i	689.8492+0.03706943i
689	4.2129-0.001755i	690.8533+0.03696827i
690	3.5162-0.58715i	691.8578+0.03708382i
691	5.4659-0.77486i	692.8627+0.0371747i
692	29.85354-185.0271i	693.8679+0.036997i
693	30.55828-180.8305i	694.8491+0.03745874i
694	31.31314-176.5499i	695.8551+0.03747494i
695	32.12286-172.175i	696.8614+0.03746491i
696	32.99413-167.7006i	697.8681+0.03742825i
697	34.19516-162.748i	698.8819+0.03733538i
698	35.66644-157.4312i	699.8683+0.0380895i
699	37.27449-151.9806i	700.88+0.03831851i
700	39.03755-146.3827i	701.8673+0.03890813i
701	40.98384-140.6414i	702.88+0.03895576i
702	43.14019-134.7481i	703.8682+0.03962422i
703	45.54555-128.7124i	704.882+0.03973494i
704	48.23765-122.5374i	705.8711+0.04047937i
705	51.26753-116.248i	706.8859+0.04039734i
706	54.68175-109.8718i	707.876+0.04096054i
707	58.53587-103.4652i	708.892+0.0411862i
